
---------- Begin Simulation Statistics ----------
simSeconds                                   0.045079                       # Number of seconds simulated (Second)
system.cpu0.issuedInstType_0::SimdDiv               0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSqrt              0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAdd            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatAlu            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCmp            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatCvt            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatDiv            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMisc            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMult            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMultAcc            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatMatMultAcc            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatSqrt            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAdd            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceAlu            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdReduceCmp            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceAdd            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatReduceCmp            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAes               0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdAesMix            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha1Hash            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha1Hash2            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha256Hash            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha256Hash2            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShaSigma2            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdShaSigma3            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSha3              0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdSm4e              0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdCrc               0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdPredAlu            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdDotProd            0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::Matrix                0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MatrixMov             0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MatrixOP              0      0.00%     82.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MemRead         1582588      9.69%     92.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::MemWrite        1233784      7.56%     99.76% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMemRead        22505      0.14%     99.90% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::FloatMemWrite        16156      0.10%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideMaskStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStridedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStridedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdIndexedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdExt               0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16Add            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16Cmp            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16Cvt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16DotProd            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16MatMultAcc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16Mult            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::SimdBf16MultAcc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::Bf16Cvt               0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::System                0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issuedInstType_0::total          16325545                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        0.181078                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                              88624                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.005429                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads               122524170                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites               17053379                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses       16159505                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                   211601                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                  145134                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses           99616                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                   16283230                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                      106460                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numRecvResp                       2748443                       # Number of received responses (Count)
system.cpu0.numRecvRespBytes                 12404146                       # Number of received response bytes (Byte)
system.cpu0.recvRespAvgBW                        0.14                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpu0.recvRespAvgSize                      4.51                       # Average packet size per received response ((Byte/Count))
system.cpu0.recvRespAvgRate                      0.03                       # Average rate of received responses per cycle ((Count/Cycle))
system.cpu0.recvRespAvgRetryRate                 0.00                       # Average retry rate per received response ((Count/Count))
system.cpu0.numSendRetryResp                        0                       # Number of retry responses sent (Count)
system.cpu0.numSquashedInsts                    45391                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.timesIdled                           2023                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                         164587                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.MemDepUnit__0.insertedLoads       1624252                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores      1260258                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads        18972                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores      1007265                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
